#        a       HoverH0(a)       dlogHdloga_of_a(a)
   1.0000000E-04   1.1285137E+06   -1.8868535E+00
   1.0046181E-04   1.1187464E+06   -1.8864496E+00
   1.0092575E-04   1.1090657E+06   -1.8860447E+00
   1.0139184E-04   1.0994708E+06   -1.8856388E+00
   1.0186008E-04   1.0899609E+06   -1.8852319E+00
   1.0233048E-04   1.0805354E+06   -1.8848240E+00
   1.0280305E-04   1.0711933E+06   -1.8844150E+00
   1.0327781E-04   1.0619341E+06   -1.8840050E+00
   1.0375475E-04   1.0527569E+06   -1.8835941E+00
   1.0423390E-04   1.0436609E+06   -1.8831821E+00
   1.0471527E-04   1.0346455E+06   -1.8827691E+00
   1.0519885E-04   1.0257100E+06   -1.8823550E+00
   1.0568467E-04   1.0168535E+06   -1.8819400E+00
   1.0617274E-04   1.0080755E+06   -1.8815240E+00
   1.0666305E-04   9.9937512E+05   -1.8811069E+00
   1.0715563E-04   9.9075177E+05   -1.8806889E+00
   1.0765049E-04   9.8220472E+05   -1.8802698E+00
   1.0814763E-04   9.7373329E+05   -1.8798497E+00
   1.0864707E-04   9.6533679E+05   -1.8794286E+00
   1.0914881E-04   9.5701455E+05   -1.8790066E+00
   1.0965287E-04   9.4876591E+05   -1.8785835E+00
   1.1015926E-04   9.4059020E+05   -1.8781594E+00
   1.1066799E-04   9.3248677E+05   -1.8777343E+00
   1.1117906E-04   9.2445496E+05   -1.8773082E+00
   1.1169250E-04   9.1649413E+05   -1.8768811E+00
   1.1220831E-04   9.0860365E+05   -1.8764530E+00
   1.1272650E-04   9.0078288E+05   -1.8760239E+00
   1.1324708E-04   8.9303119E+05   -1.8755938E+00
   1.1377007E-04   8.8534797E+05   -1.8751627E+00
   1.1429547E-04   8.7773259E+05   -1.8747306E+00
   1.1482330E-04   8.7018446E+05   -1.8742975E+00
   1.1535356E-04   8.6270296E+05   -1.8738634E+00
   1.1588628E-04   8.5528749E+05   -1.8734283E+00
   1.1642145E-04   8.4793747E+05   -1.8729923E+00
   1.1695910E-04   8.4065230E+05   -1.8725552E+00
   1.1749923E-04   8.3343140E+05   -1.8721172E+00
   1.1804185E-04   8.2627420E+05   -1.8716782E+00
   1.1858698E-04   8.1918011E+05   -1.8712381E+00
   1.1913463E-04   8.1214859E+05   -1.8707972E+00
   1.1968481E-04   8.0517905E+05   -1.8703552E+00
   1.2023752E-04   7.9827096E+05   -1.8699122E+00
   1.2079279E-04   7.9142375E+05   -1.8694683E+00
   1.2135063E-04   7.8463688E+05   -1.8690233E+00
   1.2191104E-04   7.7790981E+05   -1.8685774E+00
   1.2247403E-04   7.7124200E+05   -1.8681306E+00
   1.2303963E-04   7.6463291E+05   -1.8676827E+00
   1.2360784E-04   7.5808203E+05   -1.8672339E+00
   1.2417868E-04   7.5158883E+05   -1.8667841E+00
   1.2475215E-04   7.4515279E+05   -1.8663334E+00
   1.2532826E-04   7.3877340E+05   -1.8658816E+00
   1.2590704E-04   7.3245015E+05   -1.8654289E+00
   1.2648850E-04   7.2618254E+05   -1.8649753E+00
   1.2707263E-04   7.1997006E+05   -1.8645207E+00
   1.2765947E-04   7.1381224E+05   -1.8640651E+00
   1.2824901E-04   7.0770856E+05   -1.8636085E+00
   1.2884128E-04   7.0165856E+05   -1.8631510E+00
   1.2943628E-04   6.9566174E+05   -1.8626926E+00
   1.3003403E-04   6.8971764E+05   -1.8622332E+00
   1.3063454E-04   6.8382577E+05   -1.8617728E+00
   1.3123783E-04   6.7798567E+05   -1.8613115E+00
   1.3184390E-04   6.7219688E+05   -1.8608493E+00
   1.3245277E-04   6.6645894E+05   -1.8603861E+00
   1.3306445E-04   6.6077138E+05   -1.8599219E+00
   1.3367895E-04   6.5513377E+05   -1.8594568E+00
   1.3429630E-04   6.4954565E+05   -1.8589908E+00
   1.3491649E-04   6.4400658E+05   -1.8585238E+00
   1.3553955E-04   6.3851612E+05   -1.8580559E+00
   1.3616548E-04   6.3307383E+05   -1.8575871E+00
   1.3679431E-04   6.2767929E+05   -1.8571174E+00
   1.3742604E-04   6.2233207E+05   -1.8566467E+00
   1.3806069E-04   6.1703173E+05   -1.8561750E+00
   1.3869827E-04   6.1177787E+05   -1.8557025E+00
   1.3933879E-04   6.0657007E+05   -1.8552290E+00
   1.3998227E-04   6.0140791E+05   -1.8547547E+00
   1.4062872E-04   5.9629099E+05   -1.8542794E+00
   1.4127816E-04   5.9121890E+05   -1.8538032E+00
   1.4193060E-04   5.8619124E+05   -1.8533260E+00
   1.4258605E-04   5.8120762E+05   -1.8528480E+00
   1.4324453E-04   5.7626763E+05   -1.8523691E+00
   1.4390605E-04   5.7137089E+05   -1.8518892E+00
   1.4457062E-04   5.6651702E+05   -1.8514085E+00
   1.4523826E-04   5.6170563E+05   -1.8509268E+00
   1.4590899E-04   5.5693634E+05   -1.8504443E+00
   1.4658281E-04   5.5220877E+05   -1.8499608E+00
   1.4725974E-04   5.4752255E+05   -1.8494765E+00
   1.4793981E-04   5.4287731E+05   -1.8489913E+00
   1.4862301E-04   5.3827269E+05   -1.8485052E+00
   1.4930936E-04   5.3370832E+05   -1.8480182E+00
   1.4999889E-04   5.2918384E+05   -1.8475303E+00
   1.5069160E-04   5.2469890E+05   -1.8470416E+00
   1.5138751E-04   5.2025314E+05   -1.8465520E+00
   1.5208663E-04   5.1584622E+05   -1.8460615E+00
   1.5278899E-04   5.1147778E+05   -1.8455701E+00
   1.5349458E-04   5.0714749E+05   -1.8450779E+00
   1.5420343E-04   5.0285500E+05   -1.8445848E+00
   1.5491556E-04   4.9859997E+05   -1.8440908E+00
   1.5563098E-04   4.9438208E+05   -1.8435960E+00
   1.5634970E-04   4.9020099E+05   -1.8431004E+00
   1.5707174E-04   4.8605636E+05   -1.8426038E+00
