#        a       HoverH0(a)       dlogHdloga_of_a(a)
   1.0000000E-04   1.1175001E+06   -1.8728305E+00
   1.0046181E-04   1.1078998E+06   -1.8723931E+00
   1.0092575E-04   1.0983842E+06   -1.8719547E+00
   1.0139184E-04   1.0889525E+06   -1.8715153E+00
   1.0186008E-04   1.0796039E+06   -1.8710750E+00
   1.0233048E-04   1.0703378E+06   -1.8706336E+00
   1.0280305E-04   1.0611534E+06   -1.8701913E+00
   1.0327781E-04   1.0520500E+06   -1.8697479E+00
   1.0375475E-04   1.0430267E+06   -1.8693036E+00
   1.0423390E-04   1.0340830E+06   -1.8688584E+00
   1.0471527E-04   1.0252181E+06   -1.8684121E+00
   1.0519885E-04   1.0164313E+06   -1.8679649E+00
   1.0568467E-04   1.0077219E+06   -1.8675167E+00
   1.0617274E-04   9.9908910E+05   -1.8670675E+00
   1.0666305E-04   9.9053236E+05   -1.8666174E+00
   1.0715563E-04   9.8205095E+05   -1.8661663E+00
   1.0765049E-04   9.7364418E+05   -1.8657142E+00
   1.0814763E-04   9.6531139E+05   -1.8652611E+00
   1.0864707E-04   9.5705192E+05   -1.8648071E+00
   1.0914881E-04   9.4886510E+05   -1.8643521E+00
   1.0965287E-04   9.4075029E+05   -1.8638962E+00
   1.1015926E-04   9.3270683E+05   -1.8634393E+00
   1.1066799E-04   9.2473410E+05   -1.8629815E+00
   1.1117906E-04   9.1683146E+05   -1.8625227E+00
   1.1169250E-04   9.0899827E+05   -1.8620629E+00
   1.1220831E-04   9.0123392E+05   -1.8616022E+00
   1.1272650E-04   8.9353778E+05   -1.8611406E+00
   1.1324708E-04   8.8590926E+05   -1.8606780E+00
   1.1377007E-04   8.7834774E+05   -1.8602144E+00
   1.1429547E-04   8.7085262E+05   -1.8597499E+00
   1.1482330E-04   8.6342331E+05   -1.8592845E+00
   1.1535356E-04   8.5605921E+05   -1.8588181E+00
   1.1588628E-04   8.4875975E+05   -1.8583508E+00
   1.1642145E-04   8.4152435E+05   -1.8578826E+00
   1.1695910E-04   8.3435242E+05   -1.8574134E+00
   1.1749923E-04   8.2724341E+05   -1.8569433E+00
   1.1804185E-04   8.2019675E+05   -1.8564723E+00
   1.1858698E-04   8.1321187E+05   -1.8560004E+00
   1.1913463E-04   8.0628824E+05   -1.8555275E+00
   1.1968481E-04   7.9942530E+05   -1.8550537E+00
   1.2023752E-04   7.9262250E+05   -1.8545790E+00
   1.2079279E-04   7.8587932E+05   -1.8541034E+00
   1.2135063E-04   7.7919522E+05   -1.8536268E+00
   1.2191104E-04   7.7256966E+05   -1.8531494E+00
   1.2247403E-04   7.6600212E+05   -1.8526710E+00
   1.2303963E-04   7.5949209E+05   -1.8521917E+00
   1.2360784E-04   7.5303906E+05   -1.8517116E+00
   1.2417868E-04   7.4664250E+05   -1.8512305E+00
   1.2475215E-04   7.4030192E+05   -1.8507485E+00
   1.2532826E-04   7.3401682E+05   -1.8502657E+00
   1.2590704E-04   7.2778669E+05   -1.8497819E+00
   1.2648850E-04   7.2161106E+05   -1.8492972E+00
   1.2707263E-04   7.1548943E+05   -1.8488117E+00
   1.2765947E-04   7.0942132E+05   -1.8483253E+00
   1.2824901E-04   7.0340625E+05   -1.8478380E+00
   1.2884128E-04   6.9744375E+05   -1.8473498E+00
   1.2943628E-04   6.9153335E+05   -1.8468607E+00
   1.3003403E-04   6.8567458E+05   -1.8463708E+00
   1.3063454E-04   6.7986698E+05   -1.8458800E+00
   1.3123783E-04   6.7411010E+05   -1.8453883E+00
   1.3184390E-04   6.6840349E+05   -1.8448958E+00
   1.3245277E-04   6.6274668E+05   -1.8444024E+00
   1.3306445E-04   6.5713925E+05   -1.8439081E+00
   1.3367895E-04   6.5158074E+05   -1.8434130E+00
   1.3429630E-04   6.4607073E+05   -1.8429170E+00
   1.3491649E-04   6.4060878E+05   -1.8424202E+00
   1.3553955E-04   6.3519446E+05   -1.8419225E+00
   1.3616548E-04   6.2982734E+05   -1.8414240E+00
   1.3679431E-04   6.2450701E+05   -1.8409246E+00
   1.3742604E-04   6.1923305E+05   -1.8404244E+00
   1.3806069E-04   6.1400505E+05   -1.8399234E+00
   1.3869827E-04   6.0882259E+05   -1.8394216E+00
   1.3933879E-04   6.0368526E+05   -1.8389189E+00
   1.3998227E-04   5.9859268E+05   -1.8384154E+00
   1.4062872E-04   5.9354443E+05   -1.8379110E+00
   1.4127816E-04   5.8854013E+05   -1.8374059E+00
   1.4193060E-04   5.8357938E+05   -1.8368999E+00
   1.4258605E-04   5.7866179E+05   -1.8363931E+00
   1.4324453E-04   5.7378698E+05   -1.8358856E+00
   1.4390605E-04   5.6895457E+05   -1.8353772E+00
   1.4457062E-04   5.6416418E+05   -1.8348680E+00
   1.4523826E-04   5.5941544E+05   -1.8343580E+00
   1.4590899E-04   5.5470797E+05   -1.8338472E+00
   1.4658281E-04   5.5004141E+05   -1.8333356E+00
   1.4725974E-04   5.4541540E+05   -1.8328233E+00
   1.4793981E-04   5.4082957E+05   -1.8323101E+00
   1.4862301E-04   5.3628357E+05   -1.8317962E+00
   1.4930936E-04   5.3177704E+05   -1.8312815E+00
   1.4999889E-04   5.2730963E+05   -1.8307661E+00
   1.5069160E-04   5.2288099E+05   -1.8302498E+00
   1.5138751E-04   5.1849078E+05   -1.8297328E+00
   1.5208663E-04   5.1413866E+05   -1.8292151E+00
   1.5278899E-04   5.0982428E+05   -1.8286966E+00
   1.5349458E-04   5.0554732E+05   -1.8281773E+00
   1.5420343E-04   5.0130744E+05   -1.8276573E+00
   1.5491556E-04   4.9710431E+05   -1.8271365E+00
   1.5563098E-04   4.9293761E+05   -1.8266150E+00
   1.5634970E-04   4.8880700E+05   -1.8260928E+00
   1.5707174E-04   4.8471217E+05   -1.8255698E+00
   1.5779711E-04   4.8065281E+05   -1.8250461E+00
   1.5852584E-04   4.7662859E+05   -1.8245217E+00
   1.5925792E-04   4.7263921E+05   -1.8239965E+00
   1.5999339E-04   4.6868435E+05   -1.8234706E+00
   1.6073226E-04   4.6476372E+05   -1.8229441E+00
   1.6147454E-04   4.6087700E+05   -1.8224168E+00
   1.6222024E-04   4.5702389E+05   -1.8218888E+00
   1.6296939E-04   4.5320410E+05   -1.8213601E+00
   1.6372200E-04   4.4941733E+05   -1.8208307E+00
   1.6447809E-04   4.4566329E+05   -1.8203006E+00
   1.6523767E-04   4.4194169E+05   -1.8197699E+00
   1.6600075E-04   4.3825224E+05   -1.8192384E+00
   1.6676736E-04   4.3459466E+05   -1.8187063E+00
   1.6753751E-04   4.3096865E+05   -1.8181735E+00
   1.6831122E-04   4.2737395E+05   -1.8176400E+00
   1.6908849E-04   4.2381028E+05   -1.8171059E+00
   1.6986936E-04   4.2027736E+05   -1.8165711E+00
   1.7065384E-04   4.1677491E+05   -1.8160356E+00
   1.7144193E-04   4.1330267E+05   -1.8154995E+00
   1.7223367E-04   4.0986038E+05   -1.8149628E+00
   1.7302906E-04   4.0644776E+05   -1.8144254E+00
   1.7382813E-04   4.0306455E+05   -1.8138873E+00
   1.7463089E-04   3.9971050E+05   -1.8133486E+00
   1.7543735E-04   3.9638534E+05   -1.8128093E+00
   1.7624754E-04   3.9308882E+05   -1.8122694E+00
   1.7706147E-04   3.8982068E+05   -1.8117289E+00
   1.7787916E-04   3.8658068E+05   -1.8111877E+00
   1.7870062E-04   3.8336857E+05   -1.8106459E+00
   1.7952588E-04   3.8018409E+05   -1.8101035E+00
   1.8035495E-04   3.7702701E+05   -1.8095606E+00
   1.8118785E-04   3.7389709E+05   -1.8090170E+00
   1.8202459E-04   3.7079407E+05   -1.8084728E+00
   1.8286520E-04   3.6771773E+05   -1.8079281E+00
   1.8370969E-04   3.6466783E+05   -1.8073827E+00
   1.8455808E-04   3.6164413E+05   -1.8068368E+00
   1.8541039E-04   3.5864641E+05   -1.8062903E+00
