#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537964E-05   9.2290440E+06   9.2290440E+06   1.2302683E+07   1.0905022E+04   1.7675076E+06   9.2291253E+06   9.2290440E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1324178E-05   9.2290423E+06   9.2290423E+06   1.2302261E+07   1.0904787E+04   1.7674912E+06   9.2291235E+06   9.2290423E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2169051E-05   9.2290404E+06   9.2290404E+06   1.2301774E+07   1.0904515E+04   1.7674722E+06   9.2291214E+06   9.2290404E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3076957E-05   9.2290382E+06   9.2290382E+06   1.2301212E+07   1.0904201E+04   1.7674503E+06   9.2291190E+06   9.2290382E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4052601E-05   9.2290356E+06   9.2290356E+06   1.2300563E+07   1.0903838E+04   1.7674249E+06   9.2291163E+06   9.2290356E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5101035E-05   9.2290326E+06   9.2290326E+06   1.2299814E+07   1.0903419E+04   1.7673957E+06   9.2291131E+06   9.2290326E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6227690E-05   9.2290292E+06   9.2290292E+06   1.2298948E+07   1.0902935E+04   1.7673620E+06   9.2291094E+06   9.2290292E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7438403E-05   9.2290252E+06   9.2290252E+06   1.2297949E+07   1.0902377E+04   1.7673230E+06   9.2291052E+06   9.2290252E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739444E-05   9.2290206E+06   9.2290206E+06   1.2296795E+07   1.0901732E+04   1.7672780E+06   9.2291003E+06   9.2290206E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0137553E-05   9.2290153E+06   9.2290153E+06   1.2295462E+07   1.0900987E+04   1.7672261E+06   9.2290947E+06   9.2290153E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1639973E-05   9.2290091E+06   9.2290091E+06   1.2293924E+07   1.0900128E+04   1.7671661E+06   9.2290881E+06   9.2290091E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
