#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1062643E-05   9.7408247E+06   9.7408247E+06   1.2984963E+07   1.2010201E+04   1.8571017E+06   9.7409149E+06   9.7408247E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1888002E-05   9.7408229E+06   9.7408229E+06   1.2984526E+07   1.2009946E+04   1.8570851E+06   9.7409130E+06   9.7408229E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2774940E-05   9.7408208E+06   9.7408208E+06   1.2984023E+07   1.2009653E+04   1.8570660E+06   9.7409108E+06   9.7408208E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3728051E-05   9.7408184E+06   9.7408184E+06   1.2983441E+07   1.2009314E+04   1.8570439E+06   9.7409082E+06   9.7408184E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4752271E-05   9.7408156E+06   9.7408156E+06   1.2982769E+07   1.2008922E+04   1.8570184E+06   9.7409053E+06   9.7408156E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5852906E-05   9.7408124E+06   9.7408124E+06   1.2981993E+07   1.2008470E+04   1.8569889E+06   9.7409019E+06   9.7408124E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7035657E-05   9.7408087E+06   9.7408087E+06   1.2981098E+07   1.2007948E+04   1.8569549E+06   9.7408979E+06   9.7408087E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8306650E-05   9.7408044E+06   9.7408044E+06   1.2980063E+07   1.2007345E+04   1.8569157E+06   9.7408933E+06   9.7408044E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9672470E-05   9.7407995E+06   9.7407995E+06   1.2978869E+07   1.2006649E+04   1.8568703E+06   9.7408881E+06   9.7407995E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1140190E-05   9.7407938E+06   9.7407938E+06   1.2977490E+07   1.2005845E+04   1.8568180E+06   9.7408820E+06   9.7407938E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2717413E-05   9.7407872E+06   9.7407872E+06   1.2975898E+07   1.2004916E+04   1.8567575E+06   9.7408750E+06   9.7407872E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4412310E-05   9.7407796E+06   9.7407796E+06   1.2974059E+07   1.2003845E+04   1.8566877E+06   9.7408669E+06   9.7407796E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6233660E-05   9.7407708E+06   9.7407708E+06   1.2971936E+07   1.2002607E+04   1.8566072E+06   9.7408575E+06   9.7407708E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8190896E-05   9.7407606E+06   9.7407606E+06   1.2969485E+07   1.2001178E+04   1.8565142E+06   9.7408467E+06   9.7407606E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0294158E-05   9.7407489E+06   9.7407489E+06   1.2966656E+07   1.1999528E+04   1.8564068E+06   9.7408342E+06   9.7407489E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2554339E-05   9.7407353E+06   9.7407353E+06   1.2963389E+07   1.1997623E+04   1.8562828E+06   9.7408198E+06   9.7407353E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4983148E-05   9.7407197E+06   9.7407197E+06   1.2959617E+07   1.1995423E+04   1.8561398E+06   9.7408031E+06   9.7407197E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7593164E-05   9.7407017E+06   9.7407017E+06   1.2955263E+07   1.1992884E+04   1.8559746E+06   9.7407839E+06   9.7407017E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.0397909E-05   9.7406808E+06   9.7406808E+06   1.2950236E+07   1.1989953E+04   1.8557841E+06   9.7407617E+06   9.7406808E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.3411909E-05   9.7406567E+06   9.7406567E+06   1.2944434E+07   1.1986568E+04   1.8555641E+06   9.7407361E+06   9.7406567E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.6650777E-05   9.7406289E+06   9.7406289E+06   1.2937737E+07   1.1982661E+04   1.8553103E+06   9.7407065E+06   9.7406289E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0131290E-05   9.7405968E+06   9.7405968E+06   1.2930008E+07   1.1978152E+04   1.8550175E+06   9.7406723E+06   9.7405968E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.3871477E-05   9.7405598E+06   9.7405598E+06   1.2921087E+07   1.1972947E+04   1.8546797E+06   9.7406329E+06   9.7405598E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.7890711E-05   9.7405170E+06   9.7405170E+06   1.2910793E+07   1.1966939E+04   1.8542901E+06   9.7405873E+06   9.7405170E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2209811E-05   9.7404676E+06   9.7404676E+06   1.2898916E+07   1.1960006E+04   1.8538408E+06   9.7405347E+06   9.7404676E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6851150E-05   9.7404106E+06   9.7404106E+06   1.2885213E+07   1.1952005E+04   1.8533228E+06   9.7404740E+06   9.7404106E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.1838769E-05   9.7403447E+06   9.7403447E+06   1.2869407E+07   1.1942774E+04   1.8527257E+06   9.7404039E+06   9.7403447E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.7198503E-05   9.7402687E+06   9.7402687E+06   1.2851177E+07   1.1932124E+04   1.8520376E+06   9.7403229E+06   9.7402687E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.2958116E-05   9.7401809E+06   9.7401809E+06   1.2830156E+07   1.1919839E+04   1.8512449E+06   9.7402295E+06   9.7401809E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.9147441E-05   9.7400796E+06   9.7400796E+06   1.2805922E+07   1.1905671E+04   1.8503320E+06   9.7401216E+06   9.7400796E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.5798538E-05   9.7399626E+06   9.7399626E+06   1.2777991E+07   1.1889334E+04   1.8492813E+06   9.7399970E+06   9.7399626E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0294586E-04   9.7398276E+06   9.7398276E+06   1.2745810E+07   1.1870500E+04   1.8480725E+06   9.7398533E+06   9.7398276E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1062643E-04   9.7396718E+06   9.7396718E+06   1.2708744E+07   1.1848794E+04   1.8466825E+06   9.7396874E+06   9.7396718E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1888002E-04   9.7394919E+06   9.7394919E+06   1.2666070E+07   1.1823786E+04   1.8450854E+06   9.7394959E+06   9.7394919E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2774940E-04   9.7392844E+06   9.7392844E+06   1.2616960E+07   1.1794982E+04   1.8432517E+06   9.7392750E+06   9.7392844E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3728051E-04   9.7390449E+06   9.7390449E+06   1.2560476E+07   1.1761820E+04   1.8411482E+06   9.7390200E+06   9.7390449E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4752271E-04   9.7387686E+06   9.7387686E+06   1.2495550E+07   1.1723660E+04   1.8387378E+06   9.7387258E+06   9.7387686E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5852906E-04   9.7384499E+06   9.7384499E+06   1.2420975E+07   1.1679771E+04   1.8359790E+06   9.7383865E+06   9.7384499E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7035657E-04   9.7380823E+06   9.7380823E+06   1.2335386E+07   1.1629325E+04   1.8328258E+06   9.7379951E+06   9.7380823E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8306650E-04   9.7376583E+06   9.7376583E+06   1.2237254E+07   1.1571384E+04   1.8292277E+06   9.7375438E+06   9.7376583E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9672470E-04   9.7371695E+06   9.7371695E+06   1.2124863E+07   1.1504891E+04   1.8251295E+06   9.7370234E+06   9.7371695E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1140190E-04   9.7366061E+06   9.7366061E+06   1.1996308E+07   1.1428656E+04   1.8204721E+06   9.7364236E+06   9.7366061E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2717413E-04   9.7359568E+06   9.7359568E+06   1.1849484E+07   1.1341352E+04   1.8151922E+06   9.7357324E+06   9.7359568E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4412310E-04   9.7352088E+06   9.7352088E+06   1.1682083E+07   1.1241499E+04   1.8092245E+06   9.7349362E+06   9.7352088E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6233660E-04   9.7343474E+06   9.7343474E+06   1.1491603E+07   1.1127464E+04   1.8025021E+06   9.7340193E+06   9.7343474E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8190896E-04   9.7333559E+06   9.7333559E+06   1.1275364E+07   1.0997459E+04   1.7949597E+06   9.7329639E+06   9.7333559E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.0294158E-04   9.7322151E+06   9.7322151E+06   1.1030541E+07   1.0849542E+04   1.7865366E+06   9.7317496E+06   9.7322151E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.2554339E-04   9.7309031E+06   9.7309031E+06   1.0754219E+07   1.0681634E+04   1.7771805E+06   9.7303534E+06   9.7309031E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4983148E-04   9.7293955E+06   9.7293955E+06   1.0443474E+07   1.0491544E+04   1.7668537E+06   9.7287489E+06   9.7293955E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7593164E-04   9.7276640E+06   9.7276640E+06   1.0095486E+07   1.0277006E+04   1.7555399E+06   9.7269064E+06   9.7276640E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.0397909E-04   9.7256770E+06   9.7256770E+06   9.7076989E+06   1.0035744E+04   1.7432523E+06   9.7247923E+06   9.7256770E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.3411909E-04   9.7233990E+06   9.7233990E+06   9.2780224E+06   9.7655515E+03   1.7300432E+06   9.7223688E+06   9.7233990E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.6650777E-04   9.7207900E+06   9.7207900E+06   8.8050962E+06   9.4644143E+03   1.7160146E+06   9.7195936E+06   9.7207900E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
